team_id,canonical_name,country,alias,alias_norm,source,league,notes
1,Egnatia Rrogozhine,Albania,Egnatia Rrogozhinë,egnatia rrogozhine,footystats,CL,
2,KF Tirana,Albania,Tirana,tirana,footystats,CL,Distinct from Partizani Tirana
3,Kukesi,Albania,Kukësi,kukesi,footystats,CL,
4,Partizani Tirana,Albania,Partizani Tirana,partizani tirana,footystats,CL,Distinct from KF Tirana
5,Skenderbeu Korce,Albania,Skënderbeu Korçë,skenderbeu korce,footystats,CL,
6,Teuta Durres,Albania,Teuta Durrës,teuta durres,footystats,CL,
7,Atletic Club d'Escaldes,Andorra,Atlètic Club d'Escaldes,atletic club d escaldes,footystats,CL,Distinct from Inter Club d'Escaldes
8,FC Santa Coloma,Andorra,FC Santa Coloma,fc santa coloma,footystats,CL,Distinct from UE Santa Coloma
9,Inter Club d'Escaldes,Andorra,Inter Club d'Escaldes,inter club d escaldes,footystats,CL,Distinct from Atletic Club d'Escaldes
10,UE Santa Coloma,Andorra,UE Santa Coloma,ue santa coloma,footystats,CL,Distinct from FC Santa Coloma
11,Alashkert,Armenia,Alashkert,alashkert,footystats,CL,
12,Artsakh,Armenia,Artsakh,artsakh,footystats,CL,
13,Avan Academy,Armenia,FC Avan Academy,fc avan academy,footystats,CL,
14,Pyunik,Armenia,Pyunik,pyunik,footystats,CL,
15,Urartu,Armenia,Banants,banants,footystats,CL,Renamed from Banants to Urartu in 2019
16,LASK,Austria,LASK Linz,lask linz,footystats,CL,
17,Rapid Wien,Austria,Rapid Wien,rapid wien,footystats,CL,
18,Red Bull Salzburg,Austria,Salzburg,salzburg,footystats,CL,
19,Sturm Graz,Austria,Sturm Graz,sturm graz,footystats,CL,
20,Neftci Baku,Azerbaijan,Neftçi,neftci,footystats,CL,
21,Qarabag,Azerbaijan,Qarabağ,qarabag,footystats,CL,
22,BATE Borisov,Belarus,BATE,bate,footystats,CL,
23,Dinamo Brest,Belarus,Dinamo Brest,dinamo brest,footystats,CL,Distinct from Brest (France)
24,Dinamo Minsk,Belarus,Dinamo Minsk,dinamo minsk,footystats,CL,
25,Shakhtyor Soligorsk,Belarus,Shakhtyor,shakhtyor,footystats,CL,Distinct from Shakhtar Donetsk (Ukraine)
26,Anderlecht,Belgium,Anderlecht,anderlecht,football_data,B1,
26,Anderlecht,Belgium,RSC Anderlecht,rsc anderlecht,footystats,CL,
27,Antwerp,Belgium,Antwerp,antwerp,football_data,B1,
27,Antwerp,Belgium,Royal Antwerp FC,royal antwerp fc,footystats,CL,
28,Beerschot,Belgium,Beerschot VA,beerschot va,football_data,B1,
29,Cercle Brugge,Belgium,Cercle Brugge,cercle brugge,football_data,B1,
30,Charleroi,Belgium,Charleroi,charleroi,football_data,B1,
31,Club Brugge,Belgium,Club Brugge,club brugge,football_data,B1,Distinct from Cercle Brugge
31,Club Brugge,Belgium,Club Brugge,club brugge,footystats,CL,Distinct from Cercle Brugge
32,Dender EH,Belgium,Dender,dender,football_data,B1,
33,Eupen,Belgium,Eupen,eupen,football_data,B1,
34,Genk,Belgium,Genk,genk,football_data,B1,
34,Genk,Belgium,KRC Genk,krc genk,footystats,CL,
35,Gent,Belgium,Gent,gent,football_data,B1,
35,Gent,Belgium,KAA Gent,kaa gent,footystats,CL,
36,Kortrijk,Belgium,Kortrijk,kortrijk,football_data,B1,
37,Lokeren,Belgium,Lokeren,lokeren,football_data,B1,
38,Mechelen,Belgium,Mechelen,mechelen,football_data,B1,
39,Mouscron,Belgium,Mouscron,mouscron,football_data,B1,Same club as 'Mouscron-Peruwelz'
39,Mouscron,Belgium,Mouscron-Peruwelz,mouscron peruwelz,football_data,B1,Same club as 'Mouscron-Peruwelz'
40,Oostende,Belgium,Oostende,oostende,football_data,B1,
41,Oud-Heverlee Leuven,Belgium,Oud-Heverlee Leuven,oud heverlee leuven,football_data,B1,
42,RAAL La Louviere,Belgium,RAAL La Louviere,raal la louviere,football_data,B1,
43,RWD Molenbeek,Belgium,RWD Molenbeek,rwd molenbeek,football_data,B1,
