team_id,canonical_name,country,in_cl_source,in_domestic_source,notes
1,Egnatia Rrogozhine,Albania,1,0,
2,KF Tirana,Albania,1,0,Distinct from Partizani Tirana
3,Kukesi,Albania,1,0,
4,Partizani Tirana,Albania,1,0,Distinct from KF Tirana
5,Skenderbeu Korce,Albania,1,0,
6,Teuta Durres,Albania,1,0,
7,Atletic Club d'Escaldes,Andorra,1,0,Distinct from Inter Club d'Escaldes
8,FC Santa Coloma,Andorra,1,0,Distinct from UE Santa Coloma
9,Inter Club d'Escaldes,Andorra,1,0,Distinct from Atletic Club d'Escaldes
10,UE Santa Coloma,Andorra,1,0,Distinct from FC Santa Coloma
11,Alashkert,Armenia,1,0,
12,Artsakh,Armenia,1,0,
13,Avan Academy,Armenia,1,0,
14,Pyunik,Armenia,1,0,
15,Urartu,Armenia,1,0,Renamed from Banants to Urartu in 2019
16,LASK,Austria,1,0,
17,Rapid Wien,Austria,1,0,
18,Red Bull Salzburg,Austria,1,0,
19,Sturm Graz,Austria,1,0,
20,Neftci Baku,Azerbaijan,1,0,
21,Qarabag,Azerbaijan,1,0,
22,BATE Borisov,Belarus,1,0,
23,Dinamo Brest,Belarus,1,0,Distinct from Brest (France)
24,Dinamo Minsk,Belarus,1,0,
25,Shakhtyor Soligorsk,Belarus,1,0,Distinct from Shakhtar Donetsk (Ukraine)
26,Anderlecht,Belgium,1,1,
27,Antwerp,Belgium,1,1,
28,Beerschot,Belgium,0,1,
29,Cercle Brugge,Belgium,0,1,
30,Charleroi,Belgium,0,1,
31,Club Brugge,Belgium,1,1,Distinct from Cercle Brugge
32,Dender EH,Belgium,0,1,
33,Eupen,Belgium,0,1,
34,Genk,Belgium,1,1,
35,Gent,Belgium,1,1,
36,Kortrijk,Belgium,0,1,
37,Lokeren,Belgium,0,1,
38,Mechelen,Belgium,0,1,
39,Mouscron,Belgium,0,1,Same club as 'Mouscron-Peruwelz'
40,Oostende,Belgium,0,1,
41,Oud-Heverlee Leuven,Belgium,0,1,
42,RAAL La Louviere,Belgium,0,1,
43,RWD Molenbeek,Belgium,0,1,
44,Seraing,Belgium,0,1,
45,Sint-Truiden,Belgium,0,1,
46,Standard Liege,Belgium,1,1,
47,Union Saint-Gilloise,Belgium,1,1,Distinct from Union Berlin
48,Waasland-Beveren,Belgium,0,1,
49,Westerlo,Belgium,0,1,
50,Zulte Waregem,Belgium,0,1,
51,Borac Banja Luka,Bosnia and Herzegovina,1,0,
